"Supplementary Table 3. IER, proportion and size of the general adult population, and proportion of the deaths that are expected to exceed K-fold of US average risk within each of the 477 US cities",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0666000,32.8355639418,-117.119792061,CA,San Diego,1419488,"0.74 (0.7, 0.8)","12.9% (12.8%, 14.5%)","  183,645 (181,565, 205,874)","8.2% (8.0%, 9.1%)","  115,786 (113,157, 128,616)","3.4% (3.1%, 3.7%)"," 47,535 (44,320, 52,215)","1.2% (1.0%, 1.3%)"," 17,126 (13,956, 18,693)","77.2% (75.3%, 78.2%)","67.3% (64.7%, 68.1%)","47.2% (42.8%, 47.7%)","27.1% (21.7%, 27.4%)"
0667000,37.7559136611,-122.440987876,CA,San Francisco,884363,"0.82 (0.77, 0.88)","13.9% (13.6%, 15.2%)","  122,577 (119,944, 134,452)","9.2% (8.9%, 10.0%)","   81,429 (79,129, 88,294)","4.1% (3.7%, 4.4%)"," 35,967 (32,995, 39,095)","1.4% (1.1%, 1.6%)"," 12,546 (9,940, 13,685)","79.0% (77.0%, 79.8%)","70.3% (67.6%, 70.9%)","50.5% (45.8%, 51.1%)","27.9% (21.9%, 28.3%)"
0668000,37.3003963176,-121.847228423,CA,San Jose,1035353,"0.63 (0.6, 0.69)","11.4% (11.1%, 12.9%)","  117,615 (114,787, 133,400)","7.1% (6.9%, 7.9%)","   73,482 (71,003, 82,141)","2.6% (2.3%, 3.0%)"," 27,461 (24,074, 30,654)","0.8% (0.5%, 0.8%)","  7,947 (5,581, 8,647)","71.5% (68.9%, 72.7%)","61.2% (57.8%, 61.9%)","39.2% (33.4%, 39.5%)","18.6% (12.8%, 18.5%)"
0668084,37.7074299262,-122.159061655,CA,San Leandro,90555,"1.25 (1.08, 1.46)","22.0% (21.2%, 25.2%)","   19,946 (19,241, 22,827)","14.2% (13.4%, 16.6%)","   12,891 (12,128, 15,075)","6.0% (5.2%, 7.2%)","  5,465 (4,684, 6,511)","2.3% (1.5%, 3.0%)","  2,095 (1,344, 2,686)","83.1% (79.4%, 86.0%)","73.4% (68.2%, 77.0%)","52.9% (44.1%, 57.3%)","32.0% (20.4%, 37.2%)"
0668196,33.134965986,-117.174363098,CA,San Marcos,96188,"0.89 (0.79, 1.03)","15.3% (14.7%, 17.3%)","   14,744 (14,184, 16,673)","10.1% (9.5%, 11.5%)","    9,692 (9,156, 11,039)","4.3% (3.7%, 5.1%)","  4,122 (3,578, 4,854)","1.6% (1.0%, 2.1%)","  1,527 (991, 1,968)","80.9% (77.1%, 83.6%)","71.9% (66.9%, 75.0%)","51.4% (43.1%, 55.7%)","30.3% (19.2%, 35.2%)"
0668252,37.5518226893,-122.312390346,CA,San Mateo,104733,"0.84 (0.74, 0.95)","14.0% (13.3%, 15.5%)","   14,628 (13,979, 16,197)","10.0% (9.5%, 11.0%)","   10,444 (9,984, 11,493)","4.4% (3.7%, 5.1%)","  4,615 (3,896, 5,339)","1.4% (0.8%, 1.8%)","  1,472 (878, 1,915)","80.4% (76.9%, 82.5%)","73.0% (68.9%, 75.2%)","51.5% (42.8%, 55.5%)","26.5% (16.1%, 31.5%)"
0668378,37.7623705462,-121.938150371,CA,San Ramon,75922,"0.42 (0.37, 0.49)","6.9% (6.3%, 8.3%)","    5,228 (4,823, 6,317)","4.2% (3.9%, 5.0%)","    3,227 (2,981, 3,779)","1.4% (0.9%, 1.7%)","  1,045 (707, 1,322)","0.3% (0.1%, 0.4%)","    215 (74, 342)","58.8% (53.2%, 62.9%)","49.2% (43.1%, 52.6%)","27.3% (17.7%, 32.2%)","9.5% (3.2%, 13.7%)"
0669000,33.7366948419,-117.881890237,CA,Santa Ana,334135,"0.85 (0.77, 0.9)","14.7% (14.2%, 16.3%)","   49,237 (47,516, 54,461)","8.6% (8.1%, 9.6%)","   28,877 (27,047, 31,956)","3.3% (3.1%, 3.6%)"," 11,119 (10,222, 12,117)","1.5% (1.2%, 1.6%)","  4,969 (4,029, 5,325)","79.0% (75.7%, 79.9%)","67.9% (63.2%, 68.6%)","49.0% (43.0%, 49.0%)","33.9% (25.9%, 33.5%)"
0669084,37.3646197504,-121.967932117,CA,Santa Clara,127131,"0.55 (0.5, 0.61)","10.1% (9.7%, 11.2%)","   12,824 (12,309, 14,284)","6.7% (6.4%, 7.5%)","    8,564 (8,176, 9,486)","2.4% (1.9%, 2.9%)","  3,069 (2,463, 3,655)","0.6% (0.3%, 0.8%)","    736 (383, 988)","73.2% (69.5%, 75.5%)","63.7% (59.4%, 66.1%)","38.4% (29.9%, 42.4%)","15.4% (8.1%, 19.2%)"
0669088,34.4119039185,-118.503504698,CA,Santa Clarita,210886,"0.9 (0.85, 0.99)","15.1% (15.2%, 17.0%)","   31,853 (32,085, 35,876)","9.3% (9.2%, 10.4%)","   19,542 (19,327, 21,975)","4.0% (3.8%, 4.4%)","  8,337 (7,930, 9,293)","1.6% (1.3%, 1.8%)","  3,285 (2,654, 3,767)","77.2% (75.0%, 79.4%)","67.2% (64.0%, 69.3%)","48.8% (43.7%, 50.7%)","30.0% (22.9%, 32.3%)"
0669196,34.9333735757,-120.443326954,CA,Santa Maria,107018,"1.38 (1.17, 1.53)","19.3% (18.6%, 21.1%)","   20,681 (19,952, 22,543)","12.4% (11.4%, 13.9%)","   13,307 (12,242, 14,885)","5.5% (5.1%, 6.2%)","  5,944 (5,424, 6,659)","3.0% (2.6%, 3.4%)","  3,231 (2,751, 3,638)","87.5% (84.1%, 88.9%)","79.8% (74.4%, 81.7%)","64.5% (57.6%, 66.4%)","51.6% (42.3%, 53.8%)"
0670000,34.0231891612,-118.481563937,CA,Santa Monica,92298,"1.14 (1.03, 1.32)","19.0% (18.5%, 21.1%)","   17,534 (17,093, 19,454)","13.2% (12.7%, 14.7%)","   12,167 (11,758, 13,522)","6.2% (5.7%, 7.1%)","  5,709 (5,210, 6,569)","2.3% (1.6%, 3.0%)","  2,101 (1,498, 2,733)","84.3% (81.6%, 86.7%)","76.4% (72.9%, 79.4%)","56.8% (50.5%, 61.6%)","32.7% (23.2%, 39.6%)"
0670098,38.4464423102,-122.706005935,CA,Santa Rosa,175269,"1 (0.92, 1.13)","18.0% (17.6%, 20.0%)","   31,531 (30,832, 35,126)","11.7% (11.3%, 13.1%)","   20,485 (19,720, 23,029)","4.8% (4.3%, 5.5%)","  8,373 (7,504, 9,662)","1.7% (1.2%, 2.1%)","  2,950 (2,112, 3,602)","81.0% (78.2%, 83.2%)","71.3% (67.3%, 73.8%)","49.6% (43.0%, 52.7%)","28.0% (19.5%, 31.6%)"
0672016,34.2662462857,-118.748980462,CA,Simi Valley,126875,"0.75 (0.69, 0.85)","14.2% (13.7%, 16.2%)","   18,061 (17,434, 20,510)","9.1% (8.6%, 10.3%)","   11,489 (10,943, 13,025)","3.3% (2.7%, 3.9%)","  4,170 (3,396, 4,942)","0.9% (0.5%, 1.2%)","  1,097 (593, 1,476)","73.9% (70.1%, 76.8%)","63.3% (58.6%, 66.3%)","39.2% (30.8%, 43.2%)","17.0% (9.1%, 21.2%)"
0675000,37.9766322679,-121.311121669,CA,Stockton,310476,"1.07 (0.98, 1.14)","18.3% (18.4%, 20.1%)","   56,920 (57,090, 62,379)","11.5% (11.2%, 12.7%)","   35,584 (34,808, 39,323)","4.5% (4.2%, 4.9%)"," 14,053 (13,122, 15,345)","2.0% (1.7%, 2.1%)","  6,183 (5,131, 6,604)","83.3% (81.0%, 84.3%)","73.3% (69.5%, 74.4%)","53.4% (47.4%, 53.8%)","36.8% (29.1%, 36.9%)"
0677000,37.3834416566,-122.025624324,CA,Sunnyvale,153656,"0.56 (0.51, 0.62)","9.4% (9.0%, 10.6%)","   14,473 (13,913, 16,300)","6.3% (6.0%, 6.9%)","    9,638 (9,270, 10,654)","2.5% (2.1%, 2.9%)","  3,853 (3,234, 4,400)","0.7% (0.4%, 0.9%)","  1,061 (628, 1,315)","71.2% (67.5%, 73.2%)","62.6% (58.4%, 64.3%)","41.0% (33.4%, 43.7%)","18.5% (10.9%, 21.5%)"
0678120,33.5029980884,-117.12239028,CA,Temecula,114318,"0.76 (0.71, 0.87)","13.9% (13.8%, 16.0%)","   15,917 (15,797, 18,316)","8.3% (8.0%, 9.7%)","    9,452 (9,171, 11,055)","3.1% (2.8%, 3.7%)","  3,570 (3,201, 4,203)","1.1% (0.8%, 1.4%)","  1,270 (874, 1,600)","74.6% (71.3%, 78.0%)","63.3% (58.5%, 66.9%)","42.5% (35.7%, 46.1%)","24.2% (15.8%, 28.0%)"
0678582,34.1917745655,-118.874888411,CA,Thousand Oaks,128972,"0.96 (0.87, 1.09)","17.2% (16.7%, 19.4%)","   22,199 (21,571, 25,048)","11.2% (10.8%, 12.6%)","   14,487 (13,889, 16,252)","4.6% (4.0%, 5.3%)","  5,913 (5,113, 6,794)","1.5% (0.9%, 1.8%)","  1,883 (1,204, 2,389)","77.9% (74.7%, 80.4%)","68.4% (64.2%, 71.1%)","46.5% (39.0%, 50.1%)","23.9% (15.2%, 28.2%)"
0680000,33.8345985464,-118.341641983,CA,Torrance,146745,"1.17 (1.08, 1.3)","19.7% (19.5%, 21.9%)","   28,881 (28,646, 32,069)","13.1% (12.9%, 14.5%)","   19,208 (18,861, 21,269)","6.0% (5.6%, 6.7%)","  8,839 (8,184, 9,863)","2.2% (1.7%, 2.7%)","  3,304 (2,434, 3,896)","82.0% (79.5%, 83.9%)","73.3% (69.9%, 75.3%)","54.3% (48.2%, 56.6%)","31.7% (22.9%, 34.9%)"
0680238,37.7243277375,-121.444621463,CA,Tracy,90886,"0.77 (0.69, 0.89)","13.4% (13.0%, 15.7%)","   12,216 (11,820, 14,272)","7.9% (7.4%, 9.4%)","    7,164 (6,706, 8,520)","3.1% (2.7%, 3.7%)","  2,816 (2,493, 3,324)","1.2% (0.8%, 1.5%)","  1,110 (746, 1,391)","74.9% (70.4%, 78.5%)","63.8% (57.7%, 67.8%)","44.8% (36.8%, 48.4%)","27.7% (17.6%, 31.7%)"
0680812,37.5052158271,-120.858762412,CA,Turlock,73562,"0.96 (0.82, 1.14)","16.9% (16.1%, 19.4%)","   12,445 (11,855, 14,273)","10.7% (9.8%, 12.7%)","    7,878 (7,207, 9,320)","4.3% (3.6%, 5.2%)","  3,148 (2,615, 3,813)","1.7% (1.1%, 2.2%)","  1,251 (775, 1,619)","81.6% (77.0%, 84.9%)","71.6% (64.8%, 75.9%)","50.8% (40.8%, 55.8%)","32.0% (19.3%, 37.7%)"
0680854,33.7308520326,-117.810730968,CA,Tustin,80502,"0.87 (0.76, 1.02)","13.0% (12.4%, 15.4%)","   10,464 (9,960, 12,397)","8.0% (7.5%, 9.5%)","    6,476 (6,056, 7,681)","3.8% (3.5%, 4.4%)","  3,043 (2,782, 3,540)","1.7% (1.3%, 2.1%)","  1,384 (1,012, 1,704)","77.9% (73.4%, 81.1%)","69.2% (63.6%, 72.4%)","54.0% (46.6%, 57.1%)","37.1% (26.1%, 41.4%)"
0681204,37.6028390812,-122.018966106,CA,Union City,75344,"0.9 (0.78, 1.06)","15.0% (14.1%, 17.8%)","   11,285 (10,646, 13,394)","9.4% (8.8%, 11.1%)","    7,085 (6,592, 8,379)","4.2% (3.6%, 4.9%)","  3,143 (2,680, 3,709)","1.6% (1.0%, 2.1%)","  1,192 (716, 1,544)","77.5% (72.7%, 81.0%)","68.0% (62.0%, 71.6%)","49.7% (40.6%, 53.8%)","29.5% (17.4%, 34.7%)"
0681344,34.1178445701,-117.660290062,CA,Upland,76985,"1.17 (1.02, 1.37)","19.2% (18.6%, 22.1%)","   14,776 (14,325, 17,041)","12.0% (11.3%, 14.2%)","    9,269 (8,725, 10,942)","5.2% (4.7%, 6.2%)","  4,029 (3,612, 4,754)","2.3% (1.6%, 2.9%)","  1,771 (1,259, 2,207)","82.1% (78.3%, 85.3%)","72.7% (67.2%, 76.4%)","54.7% (46.5%, 58.6%)","36.9% (25.4%, 41.8%)"
0681554,38.3597235063,-121.96903046,CA,Vacaville,100023,"0.87 (0.77, 1.01)","16.0% (15.3%, 18.6%)","   15,967 (15,349, 18,558)","9.8% (9.2%, 11.6%)","    9,793 (9,193, 11,579)","3.7% (3.2%, 4.5%)","  3,729 (3,156, 4,500)","1.3% (0.8%, 1.7%)","  1,277 (786, 1,694)","76.6% (72.4%, 80.3%)","65.6% (60.2%, 69.7%)","44.0% (35.7%, 48.4%)","24.3% (14.7%, 29.3%)"
0681666,38.1135329247,-122.235518478,CA,Vallejo,122086,"1.09 (0.96, 1.26)","18.8% (18.2%, 21.4%)","   22,906 (22,231, 26,142)","11.9% (11.2%, 13.8%)","   14,492 (13,631, 16,852)","4.9% (4.3%, 5.7%)","  5,998 (5,293, 7,006)","2.0% (1.5%, 2.5%)","  2,489 (1,768, 3,035)","82.3% (78.8%, 85.1%)","72.6% (67.3%, 76.0%)","52.9% (44.9%, 56.5%)","34.4% (23.6%, 38.4%)"
0682590,34.5277691103,-117.353855136,CA,Victorville,122465,"1.3 (1.15, 1.5)","19.3% (19.1%, 21.5%)","   23,638 (23,451, 26,364)","12.7% (12.1%, 14.5%)","   15,557 (14,834, 17,741)","5.8% (5.4%, 6.6%)","  7,052 (6,574, 8,120)","2.8% (2.4%, 3.4%)","  3,476 (2,886, 4,132)","86.4% (83.5%, 88.4%)","78.6% (73.8%, 81.3%)","62.1% (55.4%, 65.2%)","46.3% (36.7%, 50.1%)"
0682954,36.3270623157,-119.325273214,CA,Visalia,133009,"1.04 (0.92, 1.15)","16.7% (16.3%, 18.4%)","   22,165 (21,647, 24,478)","10.7% (10.1%, 12.0%)","   14,227 (13,422, 15,902)","4.7% (4.2%, 5.3%)","  6,218 (5,659, 6,992)","2.1% (1.6%, 2.4%)","  2,819 (2,188, 3,228)","83.6% (80.2%, 85.3%)","74.8% (69.7%, 76.8%)","56.9% (49.8%, 58.9%)","39.6% (29.6%, 41.7%)"
0682996,33.1895481978,-117.238607217,CA,Vista,101557,"0.84 (0.73, 0.96)","13.2% (12.5%, 15.1%)","   13,440 (12,686, 15,366)","8.5% (7.9%, 9.8%)","    8,624 (7,996, 9,928)","3.8% (3.4%, 4.4%)","  3,880 (3,443, 4,482)","1.6% (1.1%, 2.0%)","  1,642 (1,129, 2,009)","79.6% (75.1%, 82.1%)","71.0% (65.4%, 73.7%)","53.6% (45.7%, 56.9%)","35.2% (23.8%, 39.2%)"
0684200,34.0554415174,-117.91128206,CA,West Covina,107623,"1.2 (1.08, 1.36)","20.4% (20.3%, 22.9%)","   21,987 (21,878, 24,670)","13.0% (12.5%, 14.9%)","   13,937 (13,499, 16,021)","5.5% (5.1%, 6.3%)","  5,931 (5,497, 6,820)","2.4% (1.8%, 2.8%)","  2,574 (1,948, 3,060)","83.8% (81.1%, 86.2%)","74.2% (69.7%, 77.1%)","55.2% (48.0%, 58.1%)","36.9% (26.4%, 40.1%)"
0684550,33.7521523769,-117.993760054,CA,Westminster,91548,"1.12 (0.93, 1.26)","17.4% (16.2%, 19.7%)","   15,971 (14,843, 17,992)","12.0% (11.1%, 13.4%)","   10,995 (10,152, 12,306)","5.9% (4.9%, 6.6%)","  5,363 (4,458, 6,029)","2.3% (1.3%, 2.8%)","  2,099 (1,198, 2,540)","82.5% (77.7%, 84.5%)","75.0% (69.1%, 77.0%)","57.3% (47.0%, 60.2%)","34.8% (20.3%, 38.9%)"
0685292,33.9678255596,-118.018796341,CA,Whittier,86841,"1.41 (1.23, 1.63)","21.1% (20.6%, 23.3%)","   18,360 (17,893, 20,268)","14.3% (13.7%, 16.1%)","   12,447 (11,857, 13,995)","6.9% (6.5%, 7.9%)","  6,012 (5,600, 6,858)","3.2% (2.5%, 3.9%)","  2,824 (2,207, 3,410)","87.1% (84.3%, 89.2%)","79.6% (75.4%, 82.4%)","63.2% (56.7%, 66.5%)","44.7% (34.0%, 49.4%)"
0803455,39.8308263293,-105.146327974,CO,Arvada,118300,"0.48 (0.45, 0.53)","9.5% (9.1%, 10.6%)","   11,280 (10,776, 12,534)","5.9% (5.5%, 6.6%)","    6,987 (6,499, 7,772)","1.5% (1.2%, 1.7%)","  1,779 (1,399, 2,026)","0.2% (0.1%, 0.3%)","    293 (176, 330)","64.6% (61.9%, 65.7%)","53.0% (49.4%, 54.1%)","24.5% (19.5%, 25.4%)","7.0% (4.3%, 7.4%)"
0804000,39.7091594781,-104.726526621,CO,Aurora,367250,"0.61 (0.58, 0.67)","10.9% (10.6%, 12.6%)","   39,979 (39,083, 46,197)","6.4% (6.2%, 7.4%)","   23,554 (22,718, 27,029)","2.3% (2.1%, 2.6%)","  8,550 (7,844, 9,681)","0.8% (0.7%, 0.9%)","  2,961 (2,405, 3,324)","71.7% (69.5%, 73.4%)","60.4% (57.6%, 61.6%)","39.7% (35.6%, 40.4%)","22.4% (17.6%, 22.7%)"
0807850,40.0275510494,-105.25151776,CO,Boulder,107128,"0.36 (0.33, 0.4)","6.4% (6.1%, 7.0%)","    6,853 (6,498, 7,446)","4.3% (4.1%, 4.7%)","    4,636 (4,397, 5,041)","1.5% (1.3%, 1.7%)","  1,617 (1,386, 1,853)","0.3% (0.2%, 0.4%)","    368 (255, 430)","69.5% (67.1%, 70.2%)","60.6% (58.0%, 61.6%)","35.7% (30.9%, 37.6%)","13.7% (9.7%, 14.8%)"
0812815,39.592872073,-104.867986891,CO,Centennial,110277,"0.56 (0.53, 0.62)","10.7% (10.4%, 12.2%)","   11,765 (11,451, 13,424)","6.4% (6.2%, 7.2%)","    7,066 (6,781, 7,973)","1.8% (1.6%, 2.1%)","  2,044 (1,722, 2,330)","0.4% (0.2%, 0.4%)","    395 (264, 459)","64.4% (62.2%, 66.3%)","52.7% (49.9%, 54.0%)","27.1% (22.7%, 28.3%)","9.0% (6.0%, 9.5%)"
0816000,38.8672748077,-104.760664479,CO,Colorado Springs,464470,"0.56 (0.52, 0.61)","10.4% (9.9%, 11.8%)","   48,346 (46,143, 54,585)","6.5% (6.1%, 7.3%)","   30,173 (28,392, 33,735)","2.2% (1.9%, 2.5%)"," 10,240 (8,743, 11,625)","0.6% (0.4%, 0.6%)","  2,661 (1,900, 3,012)","70.4% (67.9%, 71.7%)","59.6% (56.4%, 60.6%)","35.5% (30.6%, 36.5%)","15.5% (11.2%, 16.0%)"
0820000,39.7620283743,-104.876365322,CO,Denver,704621,"0.78 (0.75, 0.85)","13.4% (13.2%, 14.9%)","   94,179 (93,320, 105,175)","8.4% (8.2%, 9.3%)","   59,044 (57,994, 65,560)","3.5% (3.3%, 3.9%)"," 24,642 (23,537, 27,148)","1.4% (1.2%, 1.5%)","  9,769 (8,617, 10,750)","79.0% (77.6%, 80.0%)","69.2% (67.2%, 69.9%)","49.9% (46.8%, 50.4%)","31.0% (26.7%, 31.4%)"
0827425,40.5487758924,-105.065904872,CO,Fort Collins,165089,"0.34 (0.31, 0.37)","6.4% (6.0%, 7.1%)","   10,597 (9,950, 11,683)","4.0% (3.7%, 4.4%)","    6,609 (6,120, 7,306)","1.1% (0.9%, 1.2%)","  1,775 (1,412, 2,041)","0.2% (0.1%, 0.2%)","    298 (184, 344)","63.6% (60.8%, 64.5%)","52.5% (49.2%, 53.5%)","25.2% (20.6%, 26.6%)","7.3% (4.6%, 7.8%)"
0832155,40.4141369521,-104.771170982,CO,Greeley,105457,"0.63 (0.59, 0.69)","11.1% (10.8%, 12.5%)","   11,729 (11,388, 13,169)","7.0% (6.7%, 7.8%)","    7,382 (7,091, 8,234)","2.7% (2.4%, 3.0%)","  2,823 (2,543, 3,158)","0.9% (0.7%, 1.0%)","    905 (691, 1,013)","73.8% (71.4%, 74.9%)","63.7% (60.7%, 64.6%)","42.1% (37.3%, 43.0%)","22.1% (16.6%, 22.5%)"
0843000,39.6976734462,-105.116965444,CO,Lakewood,154952,"0.55 (0.51, 0.61)","10.1% (9.7%, 11.3%)","   15,676 (15,018, 17,467)","6.6% (6.2%, 7.2%)","   10,144 (9,575, 11,225)","2.2% (1.9%, 2.5%)","  3,458 (2,915, 3,892)","0.6% (0.4%, 0.6%)","    865 (604, 965)","70.3% (67.8%, 71.3%)","60.4% (57.1%, 61.2%)","35.7% (30.5%, 36.7%)","15.1% (10.5%, 15.5%)"
0845970,40.1695164708,-105.10195106,CO,Longmont,94145,"0.52 (0.48, 0.57)","9.3% (8.9%, 10.4%)","    8,732 (8,343, 9,793)","5.9% (5.5%, 6.5%)","    5,544 (5,226, 6,140)","2.0% (1.7%, 2.2%)","  1,898 (1,585, 2,118)","0.5% (0.3%, 0.6%)","    471 (315, 526)","67.8% (64.9%, 68.8%)","57.8% (54.3%, 58.5%)","34.2% (28.7%, 35.0%)","14.3% (9.6%, 14.6%)"
0846465,40.4165693758,-105.061758435,CO,Loveland,76702,"0.72 (0.66, 0.79)","13.3% (12.7%, 14.6%)","   10,191 (9,739, 11,177)","8.8% (8.4%, 9.6%)","    6,767 (6,418, 7,380)","3.2% (2.8%, 3.6%)","  2,457 (2,113, 2,762)","0.8% (0.6%, 0.9%)","    628 (447, 722)","74.1% (71.8%, 75.1%)","64.5% (61.6%, 65.5%)","39.7% (34.5%, 41.2%)","16.9% (12.3%, 18.1%)"
0862000,38.2733957251,-104.612001218,CO,Pueblo,111121,"1.42 (1.32, 1.48)","22.9% (22.7%, 24.7%)","   25,401 (25,177, 27,419)","15.4% (15.1%, 16.6%)","   17,104 (16,739, 18,489)","6.9% (6.5%, 7.4%)","  7,661 (7,256, 8,220)","3.0% (2.6%, 3.2%)","  3,369 (2,913, 3,543)","86.8% (85.4%, 87.2%)","78.6% (76.3%, 78.9%)","60.0% (55.6%, 59.9%)","40.8% (34.5%, 40.4%)"
0877290,39.9193994188,-104.944956758,CO,Thornton,136992,"0.59 (0.57, 0.65)","11.2% (11.0%, 13.0%)","   15,305 (15,132, 17,802)","6.3% (6.2%, 7.3%)","    8,700 (8,508, 10,014)","2.1% (1.9%, 2.4%)","  2,902 (2,630, 3,274)","0.6% (0.5%, 0.7%)","    834 (622, 919)","67.5% (65.5%, 69.3%)","55.1% (52.4%, 56.3%)","33.2% (28.9%, 33.8%)","15.8% (11.4%, 16.0%)"
0883835,39.8838511475,-105.062645316,CO,Westminster,112814,"0.7 (0.67, 0.77)","13.4% (13.3%, 15.0%)","   15,171 (14,957, 16,956)","8.5% (8.3%, 9.4%)","    9,536 (9,320, 10,603)","3.0% (2.8%, 3.4%)","  3,419 (3,122, 3,838)","0.8% (0.6%, 0.9%)","    933 (724, 1,059)","74.6% (72.9%, 76.1%)","63.7% (61.4%, 64.9%)","39.4% (35.4%, 40.7%)","17.8% (13.6%, 18.6%)"
0908000,41.1928054233,-73.196054694,CT,Bridgeport,146582,"0.94 (0.81, 1.1)","15.5% (14.8%, 17.9%)","   22,688 (21,677, 26,250)","9.7% (8.9%, 11.4%)","   14,254 (13,122, 16,723)","4.1% (3.6%, 4.8%)","  5,967 (5,243, 7,074)","1.8% (1.2%, 2.2%)","  2,575 (1,814, 3,206)","81.1% (76.4%, 84.0%)","71.7% (65.1%, 75.2%)","53.1% (44.4%, 56.6%)","35.9% (24.1%, 39.7%)"
0918430,41.4015898606,-73.470938682,CT,Danbury,85243,"0.8 (0.69, 1)","14.1% (13.1%, 17.0%)","   11,980 (11,202, 14,476)","8.9% (8.1%, 10.9%)","    7,568 (6,928, 9,294)","3.6% (2.9%, 4.6%)","  3,033 (2,457, 3,911)","1.3% (0.7%, 1.9%)","  1,079 (604, 1,592)","77.0% (71.8%, 81.9%)","67.1% (60.7%, 72.8%)","46.5% (36.5%, 53.5%)","26.6% (14.8%, 34.4%)"
0937000,41.7660706419,-72.6834012389,CT,Hartford,123420,"1.12 (0.93, 1.32)","17.9% (17.1%, 20.3%)","   22,117 (21,145, 25,087)","11.8% (10.6%, 13.7%)","   14,544 (13,106, 16,898)","5.0% (4.2%, 6.0%)","  6,169 (5,192, 7,387)","2.3% (1.6%, 2.8%)","  2,799 (1,962, 3,477)","85.6% (80.7%, 88.0%)","77.1% (69.6%, 80.4%)","58.4% (48.2%, 62.5%)","41.3% (27.8%, 45.7%)"
0950370,41.675922654,-72.7861630705,CT,New Britain,72718,"1.15 (0.93, 1.46)","18.6% (17.2%, 21.8%)","   13,524 (12,487, 15,837)","12.4% (11.0%, 15.0%)","    9,017 (8,010, 10,898)","5.5% (4.5%, 7.0%)","  4,024 (3,279, 5,078)","2.4% (1.4%, 3.3%)","  1,716 (1,035, 2,403)","84.7% (79.6%, 88.5%)","76.4% (69.4%, 81.4%)","57.7% (46.9%, 64.4%)","38.3% (23.3%, 46.5%)"
0952000,41.3113869392,-72.9247595793,CT,New Haven,131005,"0.78 (0.67, 0.92)","13.6% (12.9%, 15.6%)","   17,769 (16,873, 20,406)","8.5% (7.6%, 10.0%)","   11,147 (10,026, 13,153)","3.3% (2.7%, 4.0%)","  4,290 (3,589, 5,218)","1.3% (0.9%, 1.7%)","  1,740 (1,173, 2,235)","80.5% (75.6%, 83.6%)","70.5% (63.5%, 74.5%)","49.7% (40.5%, 54.5%)","32.3% (21.1%, 37.4%)"
0955990,41.1175631682,-73.4224513123,CT,Norwalk,89000,"0.67 (0.58, 0.83)","11.7% (10.8%, 14.3%)","   10,410 (9,654, 12,747)","7.3% (6.7%, 9.0%)","    6,493 (5,939, 7,997)","2.8% (2.2%, 3.6%)","  2,486 (1,918, 3,208)","0.9% (0.4%, 1.4%)","    791 (396, 1,209)","72.0% (66.2%, 77.1%)","61.9% (55.2%, 67.3%)","40.9% (30.5%, 47.5%)","21.3% (10.5%, 28.8%)"
0973000,41.1049145013,-73.5589363142,CT,Stamford,130835,"0.8 (0.71, 0.93)","13.6% (13.0%, 15.6%)","   17,813 (17,041, 20,364)","9.2% (8.7%, 10.5%)","   11,966 (11,382, 13,693)","3.9% (3.3%, 4.6%)","  5,049 (4,269, 6,049)","1.3% (0.8%, 1.8%)","  1,708 (1,056, 2,327)","78.7% (74.8%, 81.8%)","70.1% (65.3%, 73.6%)","49.0% (40.6%, 54.1%)","26.7% (16.5%, 32.9%)"
0980000,41.5582443266,-73.036129832,CT,Waterbury,108642,"1.32 (1.08, 1.59)","20.3% (19.2%, 23.1%)","   22,062 (20,811, 25,080)","13.8% (12.6%, 16.1%)","   15,044 (13,702, 17,448)","6.4% (5.4%, 7.6%)","  6,961 (5,876, 8,311)","2.9% (1.9%, 3.6%)","  3,107 (2,064, 3,943)","86.3% (82.0%, 88.9%)","78.8% (72.7%, 82.1%)","61.1% (51.4%, 65.8%)","42.1% (28.6%, 48.3%)"
1150000,38.9099241426,-77.0147205666,DC,Washington,693972,"1.07 (1.02, 1.16)","17.1% (17.0%, 18.8%)","  118,557 (117,790, 130,177)","11.4% (11.2%, 12.5%)","   78,837 (77,404, 86,901)","5.0% (4.8%, 5.5%)"," 34,475 (33,360, 38,087)","2.2% (2.0%, 2.5%)"," 15,372 (14,162, 17,231)","85.4% (84.3%, 86.3%)","77.1% (75.4%, 78.0%)","58.6% (55.8%, 59.7%)","40.5% (36.6%, 41.8%)"
1207300,26.3749012715,-80.1078208861,FL,Boca Raton,98153,"1.12 (0.99, 1.31)","19.9% (19.1%, 22.2%)","   19,566 (18,723, 21,838)","13.9% (13.2%, 15.5%)","   13,607 (12,918, 15,225)","5.8% (4.9%, 6.9%)","  5,690 (4,783, 6,794)","1.8% (1.1%, 2.5%)","  1,778 (1,100, 2,438)","81.5% (78.3%, 84.2%)","73.1% (69.0%, 76.2%)","50.1% (41.9%, 55.2%)","25.5% (16.0%, 31.8%)"
